token_type,token_address,receiver,amount,id
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x937d7cc16cba02ad33ecf406f0d06e07f273cfab,10.614220,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x19e2d8c011f264ad07a28d28f39864a69f92cf8f,10.035820,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xaf32b493e3ce5c6ad19bf08b3aaad736af0b05be,9.372405,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x30438122bdb37690c9c07f7adfa42ae31086d736,8.974419,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1bc5cb7ce82d474edb6dc4bac0dd374b095b2fb7,8.582816,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x2ef171f02bff551d80e59f2520a951bcbf10a892,8.243521,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe66498c07a5247a2bebebc93880dffe89c19cb20,7.497892,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x409e44037c5a341fcc04d2e9171d50a92ddc046b,7.417092,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4acb948ef92b9e1cd1beda2b7221f1c45358694f,5.834835,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x7256aa0ec4139a90869856f2819680f4af9bcb75,5.686039,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67d8eab49d13ec3b476269dbefbdd2597e27b242,5.161072,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3e0e3a214a32de2087359ed182b99c03908815d7,5.109154,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe5f8a81f072150701c25fba31c910884fa33098c,4.943459,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x14216e381bf6410494c174f120bd7c66f476be15,4.918298,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x119030ad7e6fea8f694782898038da2e768cf6bf,4.668537,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x811976a9f6e5c48cc41caf3cadd9cd6e73f78c1a,4.537146,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4936f33b7b060c7336fd0e4c61316ea248da6827,4.188379,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x8e61fe0f2a9b3ff763cb704fe937f1e674ab4633,4.072367,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x80dcbf146f8a9a90f5d5751f268edf8ce0e91a19,3.753414,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xaeaef01615566bf9f216829bcb46b9fe69448d18,3.751433,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x44537005262af983c37d79d5a8a74d963b4c8726,2.940477,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x9c4d592042f959254485d443bbc337d29572264f,2.771877,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x375db778e254ef5c1cb9628276e083ceb4eb68c1,2.418697,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x9acf6a469ed9cc94cbb13a4f055f396ec2b88fa2,2.328865,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa9c708999111e178d76a96bc3f5abf1029adabb9,2.328034,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe393c2f28a5e7f9e5159caea972213d760ca0fca,2.217464,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc0e88f859de5c9ebdddd7e5c4c46ab7fcecd65d7,2.089245,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa50174f4f25f6f767a7dad2e587f0788ea103781,1.955277,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdfe66b7dd823531f32e002209d6ccd5552c6c356,1.873287,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xad55275d52186a2b6c9e5e83fe2452f42e3c4ac4,1.813986,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf6800ba50c37686a46d59ca1695d805927a4d88b,1.549890,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe1f65dc643599614d347bae72ec560ec46392161,1.388770,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x204dac213492a815421a2735c0d06dba0cf99caf,1.330701,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6f5264e6fb9b700ad2d63877adef0dcecf89e7e1,1.294599,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x661691ef5249745b1b7e61faed5c73f5629e7945,1.293989,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x95e9a0c113aa9931a4230f91ade08a491d3f8d54,1.287605,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x53143d37caa2cf41177b8d66e0125731a1247af7,1.161324,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5569b5d4b33b77e9aaab86f98eb12d94ee0c3562,1.081185,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x26d863eef3b7302dcfeaeadea3a550bfc1fbf923,1.048295,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1434a8ab47210bfb144450be4ac64470379e351f,1.039344,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xfb221214c66358606daac130d39f3dcfa8982536,1.016509,
